3.468;-2.107
3.095;-0.143
3.245;0.894
2.969;0.990
3.472;-0.060
4.513;-1.123
3.418;1.090
3.641;-0.948
3.226;0.230
3.282;0.887
3.047;0.352
2.765;-1.060
2.437;0.113
3.093;0.475
2.407;-1.587
2.687;-0.537
2.326;-0.854
2.722;0.021
2.699;-0.762
2.887;0.619
2.168;-0.414
1.989;-1.242
1.987;-0.375
1.714;-0.198
2.315;-0.231
2.788;0.528
2.855;-1.024
3.726;0.796
2.734;-0.057
3.482;-3.851
3.342;0.914
2.486;-3.966
3.455;-1.853
3.602;3.909
4.021;-3.818
3.927;-3.043
3.929;0.624
4.805;-2.384
3.857;-1.463
3.701;-0.355
3.481;-5.738
4.617;-3.076
4.693;0.252
3.789;-0.074
4.897;-0.153
4.256;0.267
4.537;1.804
4.508;-0.196
5.010;0.887
4.308;0.385
5.361;0.030
3.940;-0.356
2.890;-0.279
3.625;-1.376
3.332;1.031
3.655;-0.721
3.857;-0.465
3.646;1.189
3.611;1.787
5.304;-1.618
4.849;-1.711
5.160;2.407
4.643;1.974
4.784;2.092
3.804;-0.861
4.492;2.870
4.701;-2.246
4.721;1.669
4.446;1.352
3.793;-1.976
3.833;0.022
3.707;0.340
3.805;-5.143
3.507;0.202
3.158;-0.411
2.688;0.606
2.308;0.169
2.404;1.254
2.079;0.010
2.000;0.030
1.446;0.399
1.533;0.034
1.412;-0.498
1.229;-0.092
1.401;0.683
1.282;0.241
1.524;0.118
1.834;-0.810
1.534;-0.455
1.839;-0.612
1.585;-0.108
1.178;0.197
0.801;0.136
1.021;0.078
0.848;-0.041
0.937;0.517
1.194;0.053
1.283;-0.709
1.362;0.189
1.455;0.681
1.280;0.079
1.619;-0.809
1.901;-0.018
1.920;-0.041
2.114;-0.714
2.042;0.052
1.852;-2.103
1.662;1.062
2.310;-1.014
2.078;-0.988
2.460;2.662
2.594;-1.405
1.609;2.165
1.970;-0.034
1.776;1.260
2.341;2.799
2.335;1.797
2.868;2.224
2.866;2.663
2.843;-2.600
2.380;0.403
2.195;-1.043
2.107;-2.325
1.789;-0.238
2.107;-1.145
