20021001	1
20021002	1
20021003	1
20021004	1
20021005	0
20021006	0
20021007	1
20021008	1
20021009	1
20021010	1
20021011	1
20021012	0
20021013	0
20021014	0
20021015	1
20021016	1
20021017	1
20021018	1
20021019	0
20021020	0
20021021	1
20021022	1
20021023	1
20021024	1
20021025	1
20021026	0
20021027	0
20021028	1
20021029	1
20021030	1
20021031	1
20021101	1
20021102	0
20021103	0
20021104	1
20021105	1
20021106	1
20021107	1
20021108	1
20021109	0
20021110	0
20021111	0
20021112	1
20021113	1
20021114	1
20021115	1
20021116	0
20021117	0
20021118	1
20021119	1
20021120	1
20021121	1
20021122	1
20021123	0
20021124	0
20021125	1
20021126	1
20021127	1
20021128	0
20021129	1
20021130	0
