0.883938;0.948444;0.864961;0.637346
0.990529;0.118058;0.624514;0.194930
0.287220;0.379865;0.441659;0.896029
0.381505;0.498351;0.832325;0.272672
0.441761;0.985491;0.099412;0.476216
0.994383;0.632606;0.318637;0.267637
0.329646;0.314717;0.621852;0.489226
0.821018;0.872866;0.421322;0.876602
0.718328;0.855372;0.660941;0.089948
0.717868;0.919986;0.444434;0.132299
0.645860;0.542831;0.850947;0.300769
0.485234;0.922012;0.901550;0.805115
0.746758;0.655903;0.528863;0.807821
0.778018;0.168988;0.479797;0.642654
0.089665;0.195570;0.086331;0.606255
0.396420;0.551289;0.774498;0.765849
0.240338;0.695422;0.708980;0.154771
0.042186;0.519569;0.564810;0.502882
0.865366;0.353801;0.161984;0.545580
0.743091;0.248664;0.320217;0.459459
0.083128;0.431120;0.178658;0.155169
0.037714;0.993704;0.617545;0.622497
0.490263;0.115814;0.259980;0.646350
0.765727;0.327710;0.077406;0.913087
0.246870;0.305446;0.927096;0.854843
0.422904;0.785375;0.332802;0.038036
0.361413;0.660942;0.491397;0.640860
0.329975;0.882860;0.852166;0.959488
0.849588;0.842193;0.359480;0.166205
0.310382;0.466880;0.818390;0.244475
0.628209;0.471073;0.088403;0.275606
0.624884;0.467643;0.342580;0.007019
0.123647;0.527052;0.285063;0.893888
0.898489;0.995274;0.839095;0.490286
0.353479;0.620693;0.320677;0.131759
0.381529;0.739183;0.758376;0.511243
0.064676;0.334422;0.425620;0.335456
0.827849;0.261843;0.232488;0.924204
0.880724;0.304676;0.294234;0.897727
0.620464;0.079102;0.995323;0.415680
0.851321;0.880211;0.943320;0.137197
0.325598;0.044181;0.909556;0.307122
0.733014;0.820474;0.730753;0.334469
0.139232;0.771603;0.878560;0.963815
0.829532;0.230514;0.409301;0.943303
0.965222;0.404973;0.060103;0.162522
0.572544;0.533397;0.483141;0.451246
0.894650;0.701342;0.528096;0.195102
0.886320;0.268669;0.185686;0.603728
0.508958;0.731318;0.850677;0.886168
0.077133;0.402202;0.020951;0.942742
0.870254;0.337144;0.244211;0.098984
0.774904;0.166933;0.070748;0.584885
0.068562;0.226977;0.343808;0.916935
0.814035;0.431412;0.640869;0.036446
0.586129;0.014269;0.125589;0.078123
0.515409;0.286172;0.973965;0.626793
0.913214;0.423609;0.118749;0.608518
0.900251;0.427748;0.504894;0.243181
0.449972;0.945684;0.157086;0.958065
0.706596;0.308145;0.431201;0.902663
0.311537;0.708723;0.086036;0.611460
0.169996;0.070539;0.114914;0.688610
0.200935;0.412885;0.812467;0.631734
0.869554;0.029292;0.311044;0.071839
0.323316;0.117482;0.179964;0.525364
0.478265;0.767711;0.742666;0.544368
0.141735;0.399290;0.369684;0.802158
0.257609;0.206180;0.881258;0.742064
0.144155;0.371852;0.220650;0.867917
0.972889;0.038239;0.282029;0.596279
0.464901;0.435410;0.015525;0.535027
0.731365;0.853980;0.282389;0.011414
0.711678;0.837369;0.426665;0.460389
0.969254;0.951982;0.921552;0.031770
0.821322;0.094825;0.525780;0.408410
0.271517;0.623125;0.347744;0.802195
0.562723;0.000205;0.984300;0.469446
0.095859;0.698210;0.281515;0.736380
0.026034;0.784003;0.321920;0.966205
0.253607;0.238093;0.135923;0.799049
0.805935;0.705192;0.942317;0.717613
0.975810;0.162399;0.022157;0.506622
0.576177;0.033586;0.789518;0.548410
0.923803;0.380376;0.828450;0.121632
0.675904;0.542217;0.306286;0.223687
0.818738;0.445172;0.504723;0.420008
0.576940;0.129209;0.939420;0.802191
0.027768;0.485781;0.774687;0.801661
0.386514;0.181341;0.043313;0.670606
0.932160;0.457231;0.454494;0.867658
0.661878;0.465964;0.200551;0.713322
0.368523;0.680733;0.081871;0.625445
0.933443;0.269964;0.278331;0.643311
0.736025;0.059966;0.398308;0.276485
0.214825;0.093203;0.503161;0.181071
0.330495;0.757578;0.321360;0.396398
0.594704;0.677950;0.208265;0.443530
0.726484;0.207335;0.067514;0.290504
0.408757;0.627268;0.375731;0.169029
0.792903;0.928992;0.137429;0.636791
0.421920;0.149752;0.129090;0.950286
0.089473;0.178214;0.414896;0.939902
0.888876;0.163440;0.153188;0.771513
0.581568;0.985891;0.990050;0.449788
0.284821;0.501474;0.439699;0.512410
0.415579;0.192419;0.247047;0.487840
0.085982;0.115581;0.859729;0.198325
0.557977;0.972898;0.368725;0.788375
0.776498;0.636174;0.497141;0.232068
0.727126;0.962197;0.262723;0.020800
0.381357;0.762767;0.567976;0.317738
0.486912;0.744078;0.453156;0.863432
0.688851;0.520290;0.908293;0.918876
0.073903;0.934077;0.404792;0.577938
